出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格
2025-01-20 Monday,Departure time: 7:00 PM.,TPE,Arrival time: 8:50 PM.,HKG,EVA Air,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,BR 809,Economy,$116
2025-01-20 Monday,Departure time: 8:20 AM.,TPE,Arrival time: 10:30 AM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 407,Economy,$141
2025-01-20 Monday,Departure time: 9:50 AM.,TPE,Arrival time: 11:50 AM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 469,Economy,$141
2025-01-20 Monday,Departure time: 9:50 AM.,TPE,Arrival time: 12:05 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 499,Economy,$141
2025-01-20 Monday,Departure time: 10:45 AM.,TPE,Arrival time: 1:00 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 489,Economy,$141
2025-01-20 Monday,Departure time: 12:25 PM.,TPE,Arrival time: 2:30 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 461,Economy,$141
2025-01-20 Monday,Departure time: 1:20 PM.,TPE,Arrival time: 3:25 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 495,Economy,$141
2025-01-20 Monday,Departure time: 3:50 PM.,TPE,Arrival time: 5:55 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 443,Economy,$141
2025-01-20 Monday,Departure time: 5:00 PM.,TPE,Arrival time: 7:05 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 421,Economy,$141
2025-01-20 Monday,Departure time: 7:30 PM.,TPE,Arrival time: 9:35 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 565,Economy,$141
2025-01-20 Monday,Departure time: 7:40 PM.,TPE,Arrival time: 9:45 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 451,Economy,$141
2025-01-20 Monday,Departure time: 9:15 PM.,TPE,Arrival time: 11:25 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 479,Economy,$141
2025-01-20 Monday,Departure time: 6:35 PM.,TPE,Arrival time: 8:40 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 473,Economy,$174
2025-01-20 Monday,Departure time: 8:15 PM.,TPE,Arrival time: 10:20 PM.,HKG,Cathay Pacific,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,CX 531,Economy,$174
出發日期,出發時間,出發機場代號,抵達時間,抵達機場代號,航空公司,停靠站數量,停留時間,飛行時間,是否過夜,機型,航班代碼,艙等,價格
2025-01-21 Tuesday,Departure time: 2:05 PM.,TPE,Arrival time: 4:05 PM.,HKG,Hong Kong Express,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,UO 111,Economy,$59
2025-01-21 Tuesday,Departure time: 10:50 AM.,TPE,Arrival time: 12:50 PM.,HKG,Greater Bay Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,HB 703,Economy,$72
2025-01-21 Tuesday,Departure time: 4:30 PM.,TPE,Arrival time: 6:30 PM.,HKG,STARLUX Airlines,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,JX 235,Economy,$102
2025-01-21 Tuesday,Departure time: 2:50 PM.,TPE,Arrival time: 4:55 PM.,HKG,Hong Kong Express,Nonstop,未找到停留時間,未找到飛行時間,No,Airbus A320neo,UO 113,Economy,$59
